code,name,nature
SH900934,锦江B股,短线
SH688526,科前生物,短线
SZ301206,三元生物,短线
SH603683,晶华新材,短线
SZ301327,华宝新能,短线
SZ002879,长缆科技,短线
SZ301113,雅艺科技,短线
SH688378,奥来德,短线
SH603007,*ST花王,短线
SZ300434,金石亚药,短线
SH603208,江山欧派,短线
SH688510,航亚科技,短线
SZ300730,科创信息,短线
SZ300048,合康新能,短线
SH603053,成都燃气,短线
SZ002901,大博医疗,短线
SZ002391,长青股份,短线
SH600197,伊力特,短线
SH603665,康隆达,短线
SZ002627,三峡旅游,短线
SZ300685,艾德生物,短线
SH603517,ST绝味,短线
SH603067,振华股份,短线
SH603235,天新药业,短线
SH603052,可川科技,短线
SZ200056,皇庭B,短线
SZ002538,司尔特,短线
SH688425,铁建重工,短线
SZ301195,北路智控,短线
SZ000968,蓝焰控股,短线
SH600628,新世界,短线
SZ002928,华夏航空,短线
SZ301047,义翘神州,短线
SH605318,法狮龙,短线
SZ000601,韶能股份,短线
SZ300753,爱朋医疗,短线
SZ301290,东星医疗,短线
SZ002677,浙江美大,短线
SZ001205,盛航股份,短线
SH600917,重庆燃气,短线
SZ300818,耐普矿机,短线
SZ002880,卫光生物,短线
SZ300793,佳禾智能,短线
SH600017,日照港,短线
SZ301363,美好医疗,短线
SH688321,微芯生物,短线
SZ301257,普蕊斯,短线
SZ301188,力诺药包,短线
SZ002734,利民股份,短线
SH688156,路德环境,短线
SZ300246,宝莱特,短线
SZ002404,嘉欣丝绸,短线
SZ002099,海翔药业,短线
SH688085,三友医疗,短线
SH601999,出版传媒,短线
SZ002940,昂利康,短线
SH601008,连云港,短线
SZ003022,联泓新科,短线
SH600987,航民股份,短线
SZ300466,赛摩智能,短线
SZ300717,华信新材,短线
SH603878,武进不锈,短线
SZ300911,亿田智能,短线
SZ301267,华厦眼科,短线
SZ000818,航锦科技,短线
SH603697,有友食品,短线
SZ002303,美盈森,短线
SZ301130,西点药业,短线
SH605060,联德股份,短线
SH600979,广安爱众,短线
SH601686,友发集团,短线
SH600094,大名城,短线
SZ000862,银星能源,短线
SZ002687,乔治白,短线
SH600681,百川能源,短线
SZ001337,四川黄金,短线
SZ001339,智微智能,短线
SH600883,博闻科技,短线
SH603020,爱普股份,短线
SZ002863,今飞凯达,短线
SZ000655,金岭矿业,短线
SZ300852,四会富仕,短线
SH603995,甬金股份,短线
SH603822,嘉澳环保,短线
SZ002293,罗莱生活,短线
SH603318,水发燃气,短线
SZ300250,初灵信息,短线
SZ001227,兰州银行,短线
SH600805,悦达投资,短线
SZ003019,宸展光电,短线
SZ002098,浔兴股份,短线
SZ301018,申菱环境,短线
SH600300,维维股份,短线
SZ301276,嘉曼服饰,短线
SZ002971,和远气体,短线
SH600618,氯碱化工,短线
SZ000548,湖南投资,短线
SH605077,华康股份,短线
SH605007,五洲特纸,短线
SZ000848,承德露露,短线
SH688456,有研粉材,短线
SZ301529,福赛科技,短线
SZ002077,大港股份,短线
SH603686,福龙马,短线
SH603229,奥翔药业,短线
SH600794,保税科技,短线
SH603109,神驰机电,短线
SH600538,国发股份,短线
SZ300681,英搏尔,短线
SH688236,春立医疗,短线
SH603877,太平鸟,短线
SZ002567,唐人神,短线
SZ002588,史丹利,短线
SH603368,柳药集团,短线
SZ300856,科思股份,短线
SH600785,新华百货,短线
SZ002394,联发股份,短线
SZ002246,北化股份,短线
SZ002119,康强电子,短线
SZ000719,中原传媒,短线
SZ003041,真爱美家,短线
SH688148,芳源股份,短线
SH600861,北京人力,短线
SZ002043,兔宝宝,短线
SZ300897,山科智能,短线
SZ300692,中环环保,短线
SH600051,宁波联合,短线
SH603276,恒兴新材,短线
SH603130,云中马,短线
SZ300783,三只松鼠,短线
SH601069,西部黄金,短线
SH600751,海航科技,短线
SZ002290,禾盛新材,短线
SZ001387,雪祺电气,短线
SZ200011,深物业B,短线
SZ300830,金现代,短线
SZ000026,飞亚达,短线
SH600531,豫光金铅,短线
SH603069,海汽集团,短线
SZ300545,联得装备,短线
SH603116,红蜻蜓,短线
SZ002893,京能热力,短线
SZ300669,沪宁股份,短线
SH688552,航天南湖,短线
SZ000923,河钢资源,短线
SH600475,华光环能,短线
SZ200488,晨鸣B,短线
SZ001287,中电港,短线
SZ002327,富安娜,短线
SH600713,南京医药,短线
SZ301280,珠城科技,短线
SH600455,博通股份,短线
SH603022,新通联,短线
SH900927,物贸B股,短线
SZ002562,兄弟科技,短线
SH900908,氯碱B股,短线
SH603002,宏昌电子,短线
SH603165,荣晟环保,短线
SH688356,键凯科技,短线
SH603036,如通股份,短线
SZ002317,众生药业,短线
SZ000820,*ST节能,短线
SZ002440,闰土股份,短线
SH600509,天富能源,短线
SZ300138,晨光生物,短线
SH603325,博隆技术,短线
SZ001210,金房能源,短线
SZ002943,宇晶股份,短线
SH603060,国检集团,短线
SZ300981,中红医疗,短线
SZ000151,中成股份,短线
SH900911,金桥B股,短线
SZ300241,瑞丰光电,短线
SH603275,众辰科技,短线
SZ002956,西麦食品,短线
SH603511,爱慕股份,短线
SH688299,长阳科技,短线
SH600081,东风科技,短线
SZ200761,本钢板B,短线
SH600726,华电能源,短线
SZ000153,丰原药业,短线
SH600666,奥瑞德,短线
SH600227,赤天化,短线
SH601065,江盐集团,短线
SH688331,荣昌生物,短线
SZ003028,振邦智能,短线
SH600815,厦工股份,短线
SH605066,天正电气,短线
SZ301177,迪阿股份,短线
SZ000906,浙商中拓,短线
SH600201,生物股份,短线
SH600784,鲁银投资,短线
SH603181,皇马科技,短线
SZ001313,粤海饲料,短线
SZ002540,亚太科技,短线
SZ000517,荣安地产,短线
SZ300084,海默科技,短线
SZ002210,飞马国际,短线
SH603122,合富中国,短线
SZ000008,神州高铁,短线
SZ000597,东北制药,短线
SZ000612,焦作万方,短线
SZ002224,三力士,短线
SH600983,惠而浦,短线
SZ002020,京新药业,短线
SZ300881,盛德鑫泰,短线
SZ300804,广康生化,短线
SZ300143,盈康生命,短线
SH600599,*ST熊猫,短线
SZ002887,绿茵生态,短线
SZ301108,洁雅股份,短线
SH603339,四方科技,短线
SZ300642,透景生命,短线
SH603919,金徽酒,短线
SZ301223,中荣股份,短线
SZ002109,兴化股份,短线
SH603383,顶点软件,短线
SH688621,阳光诺和,短线
SZ002818,富森美,短线
SZ301367,瑞迈特,短线
SZ002004,华邦健康,短线
SZ200016,深康佳B,短线
SZ000950,重药控股,短线
SZ000532,华金资本,短线
SZ300463,迈克生物,短线
SZ000159,国际实业,短线
SZ300426,华智数媒,短线
SZ000707,双环科技,短线
SZ002357,富临运业,短线
SH603107,上海汽配,短线
SZ301515,港通医疗,短线
SH605599,菜百股份,短线
SH900917,海欣B股,短线
SZ301160,翔楼新材,短线
SZ000507,珠海港,短线
SH603969,银龙股份,短线
SZ003033,征和工业,短线
SH600955,维远股份,短线
SZ002646,天佑德酒,短线
SH603458,勘设股份,短线
SZ300864,南大环境,短线
SH605166,聚合顺,短线
SH603977,国泰集团,短线
SH600778,友好集团,短线
SH603922,金鸿顺,短线
SZ301408,华人健康,短线
SZ002545,东方铁塔,短线
SH603113,金能科技,短线
SZ301373,凌玮科技,短线
SH603170,宝立食品,短线
SZ000952,广济药业,短线
SH603281,江瀚新材,短线
SH601860,紫金银行,短线
SZ300731,科创新源,短线
SH688398,赛特新材,短线
SZ000788,北大医药,短线
SZ300109,新开源,短线
SZ001331,胜通能源,短线
SZ300725,药石科技,短线
SZ002034,旺能环境,短线
SZ301026,浩通科技,短线
SH600397,江钨装备,短线
SZ200045,深纺织B,短线
SH688276,百克生物,短线
SZ301062,上海艾录,短线
SZ002695,煌上煌,短线
SZ002918,蒙娜丽莎,短线
SH603600,永艺股份,短线
SZ301203,国泰环保,短线
