code,name,nature
SZ002416,爱施德,波段
SZ002839,张家港行,波段
SZ000959,首钢股份,波段
SH600418,江淮汽车,波段
SZ002670,国盛证券,波段
SZ000932,华菱钢铁,波段
SZ000970,中科三环,波段
SZ002273,水晶光电,波段
SH601608,中信重工,波段
SZ002891,中宠股份,波段
SH603486,科沃斯,波段
SZ002299,圣农发展,波段
SH603057,紫燕食品,波段
SZ002064,华峰化学,波段
SH600096,云天化,波段
SH603290,斯达半导,波段
SH600763,通策医疗,波段
SZ300802,矩子科技,波段
SZ301110,青木科技,波段
SZ002683,广东宏大,波段
SZ001203,大中矿业,波段
SH603027,千禾味业,波段
SZ300136,信维通信,波段
SH688779,五矿新能,波段
SZ002484,江海股份,波段
SZ000060,中金岭南,波段
SZ000400,许继电气,波段
SZ000682,东方电子,波段
SH600850,电科数字,波段
SZ002022,科华生物,波段
SH688519,南亚新材,波段
SZ000967,盈峰环境,波段
SZ000039,中集集团,波段
SH600258,首旅酒店,波段
SH601005,重庆钢铁,波段
SH600061,国投资本,波段
SZ002422,科伦药业,波段
SH600582,天地科技,波段
SH603456,九洲药业,波段
SH600378,昊华科技,波段
SH600927,永安期货,波段
SZ300972,万辰集团,波段
SH603317,天味食品,波段
SH600315,上海家化,波段
SH603738,泰晶科技,波段
SH600500,中化国际,波段
SH600808,马钢股份,波段
SZ002185,华天科技,波段
SH600038,中直股份,波段
SH605488,福莱新材,波段
SH600325,华发股份,波段
SH603236,移远通信,波段
SH603529,爱玛科技,波段
SZ300001,特锐德,波段
SZ002439,启明星辰,波段
SH600645,中源协和,波段
SZ300383,光环新网,波段
SZ002468,申通快递,波段
SH600409,三友化工,波段
SZ003003,天元股份,波段
SH600764,中国海防,波段
SZ002110,三钢闽光,波段
SZ301377,鼎泰高科,波段
SZ003035,南网能源,波段
SH600667,太极实业,波段
SH601156,东航物流,波段
SH600273,嘉化能源,波段
SH601965,中国汽研,波段
SZ002010,传化智联,波段
SZ002563,森马服饰,波段
SZ000800,一汽解放,波段
SH600933,爱柯迪,波段
SH688819,天能股份,波段
SZ002053,云南能投,波段
SZ000750,国海证券,波段
SZ000061,农产品,波段
SH600623,华谊集团,波段
SZ300303,聚飞光电,波段
SZ002221,东华能源,波段
SZ000031,大悦城,波段
SH600392,盛和资源,波段
SH688388,嘉元科技,波段
SH600517,国网英大,波段
SH603859,能科科技,波段
SH601369,陕鼓动力,波段
SH603638,艾迪精密,波段
SH600612,老凤祥,波段
SH601512,中新集团,波段
SH603025,大豪科技,波段
SZ002222,福晶科技,波段
SZ002092,中泰化学,波段
SZ002367,康力电梯,波段
SZ002368,太极股份,波段
SZ000415,渤海租赁,波段
SH688630,芯碁微装,波段
SZ300638,广和通,波段
SZ002042,华孚时尚,波段
SZ002003,伟星股份,波段
SH603816,顾家家居,波段
SZ002472,双环传动,波段
SH600621,华鑫股份,波段
SZ002601,龙佰集团,波段
SH600062,华润双鹤,波段
SH600884,杉杉股份,波段
SH601231,环旭电子,波段
SH600637,东方明珠,波段
SH600056,中国医药,波段
SH603087,甘李药业,波段
SH600416,湘电股份,波段
